text,Real_Label,Predicted_Label
"Cái bàn phím này đèn nháy dở vl, chán!",OFFENSIVE,OFFENSIVE
"Cái app này crash random, fuck nó luôn!",OFFENSIVE,OFFENSIVE
"Máy chơi game lag vl, chán đời!",OFFENSIVE,OFFENSIVE
"Máy tui chơi game nóng vl, chán đời!",OFFENSIVE,OFFENSIVE
"Game này map mới, đẹp vl luôn!",CLEAN,CLEAN
"Net hôm nay tệ vl, chơi không nổi!",OFFENSIVE,OFFENSIVE
Cái headphone này noise cancel ngon!,CLEAN,CLEAN
"Tui cần app sketch free, suggest đi!",CLEAN,CLEAN
"Tui vừa upgrade SSD, máy nhanh hơn!",CLEAN,CLEAN
"Cần tool backup free, ai có không?",CLEAN,CLEAN
Ai có link watch phim 4K không?,CLEAN,CLEAN
"Game này PvP fun, ai chơi chưa?",CLEAN,CLEAN
"Tui vừa join team, vibe chill lắm!",CLEAN,CLEAN
"Game này storyline deep, chơi đi nha!",CLEAN,CLEAN
"Tui vừa buy SSD, tốc độ nhanh vl!",CLEAN,CLEAN
"Cần code PHP, ai share tui với!",CLEAN,CLEAN
"Tui vừa order bàn phím, key ngon lắm!",CLEAN,CLEAN
"Cần tool extract free, ai có không?",CLEAN,CLEAN
"Shop này deal xịn, săn đi mọi người!",CLEAN,CLEAN
"Tui order đồ mà ship lâu vl, chán ghê!",OFFENSIVE,OFFENSIVE
"Tui cần app sketch free, suggest đi!",CLEAN,CLEAN
"Match này team tui lose vì lag, ngu vl!",OFFENSIVE,OFFENSIVE
"Loa này âm thanh méo vl, bực mình!",OFFENSIVE,OFFENSIVE
"Ping cao vl, chơi game lag muốn khóc!",OFFENSIVE,OFFENSIVE
"Order đồ mà ship chậm như shit, chán ghê!",OFFENSIVE,OFFENSIVE
"Server down giữa game, fuck nó luôn!",OFFENSIVE,OFFENSIVE
"Tui mới chơi game này, khó vl!",OFFENSIVE,OFFENSIVE
"Game này PvE đỉnh, ai chơi chưa?",CLEAN,CLEAN
